stem,image_J_or_degree_zero,non_J_component,full_3_primary_component,non_J_generators,notes,status,source
91,Z/3,(Z/3)^2,(Z/3)^3,beta_1 gamma_2; beta_1 x_81,"im J; t=(k+1)/4=23, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
92,0,(Z/3)^2,(Z/3)^2,beta_1 beta_{6/3}; x_92,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
93,0,Z/9,Z/9,x_93,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
94,0,(Z/3)^2,(Z/3)^2,alpha_1 beta_1 gamma_2; beta_1^2 beta_5,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
95,Z/9,Z/3,Z/3 + Z/9,alpha_1 beta_1 beta_{6/3},"im J; t=(k+1)/4=24, v_3(t)=1",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
96,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
97,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
98,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
99,Z/3,Z/3,(Z/3)^2,"<alpha_1,alpha_1,x_92>","im J; t=(k+1)/4=25, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
100,0,Z/3,Z/3,beta_2 beta_5,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
101,0,(Z/3)^2,(Z/3)^2,beta_1^2 gamma_2; beta_1^2 x_81,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
102,0,(Z/3)^2,(Z/3)^2,beta_1^2 beta_{6/3}; beta_1 x_92,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
103,Z/3,0,Z/3,,"im J; t=(k+1)/4=26, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
104,0,Z/3,Z/3,alpha_1 beta_1^2 gamma_2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
105,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
106,0,Z/3,Z/3,x_106,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
107,Z/81,(Z/3)^2,(Z/3)^2 + Z/81,gamma_2 beta_2; beta_2 x_81,"im J; t=(k+1)/4=27, v_3(t)=3",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
108,0,Z/3,Z/3,beta_2 beta_{6/3},,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
