stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
867,3,odd-primary image J,Z/3,217,0,k=(2p-2)t-1,exact in all dimensions
871,2,2-primary image-J cyclic summand,Z/16,109,0,"k=8t-1, t odd*2^m",exact
871,3,odd-primary image J,Z/3,218,0,k=(2p-2)t-1,exact in all dimensions
871,5,odd-primary image J,Z/5,109,0,k=(2p-2)t-1,exact in all dimensions
872,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
873,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
874,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
875,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
875,3,odd-primary image J,Z/9,219,1,k=(2p-2)t-1,exact in all dimensions
875,7,odd-primary image J,Z/7,73,0,k=(2p-2)t-1,exact in all dimensions
875,439,odd-primary image J,Z/439,1,0,k=(2p-2)t-1,exact in all dimensions
879,2,2-primary image-J cyclic summand,Z/32,110,1,"k=8t-1, t odd*2^m",exact
879,3,odd-primary image J,Z/3,220,0,k=(2p-2)t-1,exact in all dimensions
879,5,odd-primary image J,Z/25,110,1,k=(2p-2)t-1,exact in all dimensions
879,11,odd-primary image J,Z/121,44,1,k=(2p-2)t-1,exact in all dimensions
879,23,odd-primary image J,Z/23,20,0,k=(2p-2)t-1,exact in all dimensions
879,41,odd-primary image J,Z/41,11,0,k=(2p-2)t-1,exact in all dimensions
879,89,odd-primary image J,Z/89,5,0,k=(2p-2)t-1,exact in all dimensions
880,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
881,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
882,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
883,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
883,3,odd-primary image J,Z/3,221,0,k=(2p-2)t-1,exact in all dimensions
883,443,odd-primary image J,Z/443,1,0,k=(2p-2)t-1,exact in all dimensions
887,2,2-primary image-J cyclic summand,Z/16,111,0,"k=8t-1, t odd*2^m",exact
887,3,odd-primary image J,Z/9,222,1,k=(2p-2)t-1,exact in all dimensions
887,5,odd-primary image J,Z/5,111,0,k=(2p-2)t-1,exact in all dimensions
887,7,odd-primary image J,Z/7,74,0,k=(2p-2)t-1,exact in all dimensions
887,13,odd-primary image J,Z/13,37,0,k=(2p-2)t-1,exact in all dimensions
887,149,odd-primary image J,Z/149,3,0,k=(2p-2)t-1,exact in all dimensions
887,223,odd-primary image J,Z/223,2,0,k=(2p-2)t-1,exact in all dimensions
888,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
889,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
890,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
891,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
891,3,odd-primary image J,Z/3,223,0,k=(2p-2)t-1,exact in all dimensions
895,2,2-primary image-J cyclic summand,Z/256,112,4,"k=8t-1, t odd*2^m",exact
895,3,odd-primary image J,Z/3,224,0,k=(2p-2)t-1,exact in all dimensions
895,5,odd-primary image J,Z/5,112,0,k=(2p-2)t-1,exact in all dimensions
895,17,odd-primary image J,Z/17,28,0,k=(2p-2)t-1,exact in all dimensions
895,29,odd-primary image J,Z/29,16,0,k=(2p-2)t-1,exact in all dimensions
895,113,odd-primary image J,Z/113,4,0,k=(2p-2)t-1,exact in all dimensions
