stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
240,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
241,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
242,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
243,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
243,3,odd-primary image J,Z/3,61,0,k=(2p-2)t-1,exact in all dimensions
247,2,2-primary image-J cyclic summand,Z/16,31,0,"k=8t-1, t odd*2^m",exact
247,3,odd-primary image J,Z/3,62,0,k=(2p-2)t-1,exact in all dimensions
247,5,odd-primary image J,Z/5,31,0,k=(2p-2)t-1,exact in all dimensions
248,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
249,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
250,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
251,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
251,3,odd-primary image J,Z/27,63,2,k=(2p-2)t-1,exact in all dimensions
251,7,odd-primary image J,Z/49,21,1,k=(2p-2)t-1,exact in all dimensions
251,19,odd-primary image J,Z/19,7,0,k=(2p-2)t-1,exact in all dimensions
251,43,odd-primary image J,Z/43,3,0,k=(2p-2)t-1,exact in all dimensions
251,127,odd-primary image J,Z/127,1,0,k=(2p-2)t-1,exact in all dimensions
255,2,2-primary image-J cyclic summand,Z/512,32,5,"k=8t-1, t odd*2^m",exact
255,3,odd-primary image J,Z/3,64,0,k=(2p-2)t-1,exact in all dimensions
255,5,odd-primary image J,Z/5,32,0,k=(2p-2)t-1,exact in all dimensions
255,17,odd-primary image J,Z/17,8,0,k=(2p-2)t-1,exact in all dimensions
256,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
257,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
258,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
259,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
259,3,odd-primary image J,Z/3,65,0,k=(2p-2)t-1,exact in all dimensions
259,11,odd-primary image J,Z/11,13,0,k=(2p-2)t-1,exact in all dimensions
259,131,odd-primary image J,Z/131,1,0,k=(2p-2)t-1,exact in all dimensions
263,2,2-primary image-J cyclic summand,Z/16,33,0,"k=8t-1, t odd*2^m",exact
263,3,odd-primary image J,Z/9,66,1,k=(2p-2)t-1,exact in all dimensions
263,5,odd-primary image J,Z/5,33,0,k=(2p-2)t-1,exact in all dimensions
263,7,odd-primary image J,Z/7,22,0,k=(2p-2)t-1,exact in all dimensions
263,13,odd-primary image J,Z/13,11,0,k=(2p-2)t-1,exact in all dimensions
263,23,odd-primary image J,Z/23,6,0,k=(2p-2)t-1,exact in all dimensions
263,67,odd-primary image J,Z/67,2,0,k=(2p-2)t-1,exact in all dimensions
264,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
265,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
266,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
267,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
267,3,odd-primary image J,Z/3,67,0,k=(2p-2)t-1,exact in all dimensions
271,2,2-primary image-J cyclic summand,Z/32,34,1,"k=8t-1, t odd*2^m",exact
271,3,odd-primary image J,Z/3,68,0,k=(2p-2)t-1,exact in all dimensions
271,5,odd-primary image J,Z/5,34,0,k=(2p-2)t-1,exact in all dimensions
271,137,odd-primary image J,Z/137,1,0,k=(2p-2)t-1,exact in all dimensions
272,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
273,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
274,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
275,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
275,3,odd-primary image J,Z/9,69,1,k=(2p-2)t-1,exact in all dimensions
275,7,odd-primary image J,Z/7,23,0,k=(2p-2)t-1,exact in all dimensions
275,47,odd-primary image J,Z/47,3,0,k=(2p-2)t-1,exact in all dimensions
275,139,odd-primary image J,Z/139,1,0,k=(2p-2)t-1,exact in all dimensions
279,2,2-primary image-J cyclic summand,Z/16,35,0,"k=8t-1, t odd*2^m",exact
279,3,odd-primary image J,Z/3,70,0,k=(2p-2)t-1,exact in all dimensions
279,5,odd-primary image J,Z/25,35,1,k=(2p-2)t-1,exact in all dimensions
279,11,odd-primary image J,Z/11,14,0,k=(2p-2)t-1,exact in all dimensions
279,29,odd-primary image J,Z/29,5,0,k=(2p-2)t-1,exact in all dimensions
279,71,odd-primary image J,Z/71,2,0,k=(2p-2)t-1,exact in all dimensions
280,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
281,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
282,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
283,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
283,3,odd-primary image J,Z/3,71,0,k=(2p-2)t-1,exact in all dimensions
287,2,2-primary image-J cyclic summand,Z/64,36,2,"k=8t-1, t odd*2^m",exact
287,3,odd-primary image J,Z/27,72,2,k=(2p-2)t-1,exact in all dimensions
287,5,odd-primary image J,Z/5,36,0,k=(2p-2)t-1,exact in all dimensions
287,7,odd-primary image J,Z/7,24,0,k=(2p-2)t-1,exact in all dimensions
287,13,odd-primary image J,Z/13,12,0,k=(2p-2)t-1,exact in all dimensions
287,17,odd-primary image J,Z/17,9,0,k=(2p-2)t-1,exact in all dimensions
287,19,odd-primary image J,Z/19,8,0,k=(2p-2)t-1,exact in all dimensions
287,37,odd-primary image J,Z/37,4,0,k=(2p-2)t-1,exact in all dimensions
287,73,odd-primary image J,Z/73,2,0,k=(2p-2)t-1,exact in all dimensions
288,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
289,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
290,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
291,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
291,3,odd-primary image J,Z/3,73,0,k=(2p-2)t-1,exact in all dimensions
295,2,2-primary image-J cyclic summand,Z/16,37,0,"k=8t-1, t odd*2^m",exact
295,3,odd-primary image J,Z/3,74,0,k=(2p-2)t-1,exact in all dimensions
295,5,odd-primary image J,Z/5,37,0,k=(2p-2)t-1,exact in all dimensions
295,149,odd-primary image J,Z/149,1,0,k=(2p-2)t-1,exact in all dimensions
296,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
297,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
298,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
299,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
299,3,odd-primary image J,Z/9,75,1,k=(2p-2)t-1,exact in all dimensions
299,7,odd-primary image J,Z/7,25,0,k=(2p-2)t-1,exact in all dimensions
299,11,odd-primary image J,Z/11,15,0,k=(2p-2)t-1,exact in all dimensions
299,31,odd-primary image J,Z/31,5,0,k=(2p-2)t-1,exact in all dimensions
299,151,odd-primary image J,Z/151,1,0,k=(2p-2)t-1,exact in all dimensions
303,2,2-primary image-J cyclic summand,Z/32,38,1,"k=8t-1, t odd*2^m",exact
303,3,odd-primary image J,Z/3,76,0,k=(2p-2)t-1,exact in all dimensions
303,5,odd-primary image J,Z/5,38,0,k=(2p-2)t-1,exact in all dimensions
304,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
305,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
306,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
307,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
307,3,odd-primary image J,Z/3,77,0,k=(2p-2)t-1,exact in all dimensions
307,23,odd-primary image J,Z/23,7,0,k=(2p-2)t-1,exact in all dimensions
311,2,2-primary image-J cyclic summand,Z/16,39,0,"k=8t-1, t odd*2^m",exact
311,3,odd-primary image J,Z/9,78,1,k=(2p-2)t-1,exact in all dimensions
311,5,odd-primary image J,Z/5,39,0,k=(2p-2)t-1,exact in all dimensions
311,7,odd-primary image J,Z/7,26,0,k=(2p-2)t-1,exact in all dimensions
311,13,odd-primary image J,Z/169,13,1,k=(2p-2)t-1,exact in all dimensions
311,53,odd-primary image J,Z/53,3,0,k=(2p-2)t-1,exact in all dimensions
311,79,odd-primary image J,Z/79,2,0,k=(2p-2)t-1,exact in all dimensions
311,157,odd-primary image J,Z/157,1,0,k=(2p-2)t-1,exact in all dimensions
312,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
313,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
314,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
315,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
315,3,odd-primary image J,Z/3,79,0,k=(2p-2)t-1,exact in all dimensions
319,2,2-primary image-J cyclic summand,Z/128,40,3,"k=8t-1, t odd*2^m",exact
319,3,odd-primary image J,Z/3,80,0,k=(2p-2)t-1,exact in all dimensions
319,5,odd-primary image J,Z/25,40,1,k=(2p-2)t-1,exact in all dimensions
319,11,odd-primary image J,Z/11,16,0,k=(2p-2)t-1,exact in all dimensions
319,17,odd-primary image J,Z/17,10,0,k=(2p-2)t-1,exact in all dimensions
319,41,odd-primary image J,Z/41,4,0,k=(2p-2)t-1,exact in all dimensions
320,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
321,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
322,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
323,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
323,3,odd-primary image J,Z/243,81,4,k=(2p-2)t-1,exact in all dimensions
323,7,odd-primary image J,Z/7,27,0,k=(2p-2)t-1,exact in all dimensions
323,19,odd-primary image J,Z/19,9,0,k=(2p-2)t-1,exact in all dimensions
323,163,odd-primary image J,Z/163,1,0,k=(2p-2)t-1,exact in all dimensions
327,2,2-primary image-J cyclic summand,Z/16,41,0,"k=8t-1, t odd*2^m",exact
327,3,odd-primary image J,Z/3,82,0,k=(2p-2)t-1,exact in all dimensions
327,5,odd-primary image J,Z/5,41,0,k=(2p-2)t-1,exact in all dimensions
327,83,odd-primary image J,Z/83,2,0,k=(2p-2)t-1,exact in all dimensions
328,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
329,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
330,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
331,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
331,3,odd-primary image J,Z/3,83,0,k=(2p-2)t-1,exact in all dimensions
331,167,odd-primary image J,Z/167,1,0,k=(2p-2)t-1,exact in all dimensions
335,2,2-primary image-J cyclic summand,Z/32,42,1,"k=8t-1, t odd*2^m",exact
335,3,odd-primary image J,Z/9,84,1,k=(2p-2)t-1,exact in all dimensions
335,5,odd-primary image J,Z/5,42,0,k=(2p-2)t-1,exact in all dimensions
335,7,odd-primary image J,Z/49,28,1,k=(2p-2)t-1,exact in all dimensions
335,13,odd-primary image J,Z/13,14,0,k=(2p-2)t-1,exact in all dimensions
335,29,odd-primary image J,Z/29,6,0,k=(2p-2)t-1,exact in all dimensions
335,43,odd-primary image J,Z/43,4,0,k=(2p-2)t-1,exact in all dimensions
336,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
337,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
338,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
339,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
339,3,odd-primary image J,Z/3,85,0,k=(2p-2)t-1,exact in all dimensions
339,11,odd-primary image J,Z/11,17,0,k=(2p-2)t-1,exact in all dimensions
343,2,2-primary image-J cyclic summand,Z/16,43,0,"k=8t-1, t odd*2^m",exact
343,3,odd-primary image J,Z/3,86,0,k=(2p-2)t-1,exact in all dimensions
343,5,odd-primary image J,Z/5,43,0,k=(2p-2)t-1,exact in all dimensions
343,173,odd-primary image J,Z/173,1,0,k=(2p-2)t-1,exact in all dimensions
344,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
345,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
346,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
347,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
347,3,odd-primary image J,Z/9,87,1,k=(2p-2)t-1,exact in all dimensions
347,7,odd-primary image J,Z/7,29,0,k=(2p-2)t-1,exact in all dimensions
347,59,odd-primary image J,Z/59,3,0,k=(2p-2)t-1,exact in all dimensions
351,2,2-primary image-J cyclic summand,Z/64,44,2,"k=8t-1, t odd*2^m",exact
351,3,odd-primary image J,Z/3,88,0,k=(2p-2)t-1,exact in all dimensions
351,5,odd-primary image J,Z/5,44,0,k=(2p-2)t-1,exact in all dimensions
351,17,odd-primary image J,Z/17,11,0,k=(2p-2)t-1,exact in all dimensions
351,23,odd-primary image J,Z/23,8,0,k=(2p-2)t-1,exact in all dimensions
351,89,odd-primary image J,Z/89,2,0,k=(2p-2)t-1,exact in all dimensions
352,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
353,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
354,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
355,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
355,3,odd-primary image J,Z/3,89,0,k=(2p-2)t-1,exact in all dimensions
355,179,odd-primary image J,Z/179,1,0,k=(2p-2)t-1,exact in all dimensions
359,2,2-primary image-J cyclic summand,Z/16,45,0,"k=8t-1, t odd*2^m",exact
359,3,odd-primary image J,Z/27,90,2,k=(2p-2)t-1,exact in all dimensions
359,5,odd-primary image J,Z/25,45,1,k=(2p-2)t-1,exact in all dimensions
359,7,odd-primary image J,Z/7,30,0,k=(2p-2)t-1,exact in all dimensions
359,11,odd-primary image J,Z/11,18,0,k=(2p-2)t-1,exact in all dimensions
359,13,odd-primary image J,Z/13,15,0,k=(2p-2)t-1,exact in all dimensions
359,19,odd-primary image J,Z/19,10,0,k=(2p-2)t-1,exact in all dimensions
359,31,odd-primary image J,Z/31,6,0,k=(2p-2)t-1,exact in all dimensions
359,37,odd-primary image J,Z/37,5,0,k=(2p-2)t-1,exact in all dimensions
359,61,odd-primary image J,Z/61,3,0,k=(2p-2)t-1,exact in all dimensions
359,181,odd-primary image J,Z/181,1,0,k=(2p-2)t-1,exact in all dimensions
360,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
361,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
362,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
363,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
363,3,odd-primary image J,Z/3,91,0,k=(2p-2)t-1,exact in all dimensions
367,2,2-primary image-J cyclic summand,Z/32,46,1,"k=8t-1, t odd*2^m",exact
367,3,odd-primary image J,Z/3,92,0,k=(2p-2)t-1,exact in all dimensions
367,5,odd-primary image J,Z/5,46,0,k=(2p-2)t-1,exact in all dimensions
367,47,odd-primary image J,Z/47,4,0,k=(2p-2)t-1,exact in all dimensions
368,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
369,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
370,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
371,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
371,3,odd-primary image J,Z/9,93,1,k=(2p-2)t-1,exact in all dimensions
371,7,odd-primary image J,Z/7,31,0,k=(2p-2)t-1,exact in all dimensions
375,2,2-primary image-J cyclic summand,Z/16,47,0,"k=8t-1, t odd*2^m",exact
375,3,odd-primary image J,Z/3,94,0,k=(2p-2)t-1,exact in all dimensions
375,5,odd-primary image J,Z/5,47,0,k=(2p-2)t-1,exact in all dimensions
376,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
377,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
378,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
379,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
379,3,odd-primary image J,Z/3,95,0,k=(2p-2)t-1,exact in all dimensions
379,11,odd-primary image J,Z/11,19,0,k=(2p-2)t-1,exact in all dimensions
379,191,odd-primary image J,Z/191,1,0,k=(2p-2)t-1,exact in all dimensions
383,2,2-primary image-J cyclic summand,Z/256,48,4,"k=8t-1, t odd*2^m",exact
383,3,odd-primary image J,Z/9,96,1,k=(2p-2)t-1,exact in all dimensions
383,5,odd-primary image J,Z/5,48,0,k=(2p-2)t-1,exact in all dimensions
383,7,odd-primary image J,Z/7,32,0,k=(2p-2)t-1,exact in all dimensions
383,13,odd-primary image J,Z/13,16,0,k=(2p-2)t-1,exact in all dimensions
383,17,odd-primary image J,Z/17,12,0,k=(2p-2)t-1,exact in all dimensions
383,97,odd-primary image J,Z/97,2,0,k=(2p-2)t-1,exact in all dimensions
383,193,odd-primary image J,Z/193,1,0,k=(2p-2)t-1,exact in all dimensions
384,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
385,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
386,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
387,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
387,3,odd-primary image J,Z/3,97,0,k=(2p-2)t-1,exact in all dimensions
391,2,2-primary image-J cyclic summand,Z/16,49,0,"k=8t-1, t odd*2^m",exact
391,3,odd-primary image J,Z/3,98,0,k=(2p-2)t-1,exact in all dimensions
391,5,odd-primary image J,Z/5,49,0,k=(2p-2)t-1,exact in all dimensions
391,29,odd-primary image J,Z/29,7,0,k=(2p-2)t-1,exact in all dimensions
391,197,odd-primary image J,Z/197,1,0,k=(2p-2)t-1,exact in all dimensions
392,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
393,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
394,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
395,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
395,3,odd-primary image J,Z/27,99,2,k=(2p-2)t-1,exact in all dimensions
395,7,odd-primary image J,Z/7,33,0,k=(2p-2)t-1,exact in all dimensions
395,19,odd-primary image J,Z/19,11,0,k=(2p-2)t-1,exact in all dimensions
395,23,odd-primary image J,Z/23,9,0,k=(2p-2)t-1,exact in all dimensions
395,67,odd-primary image J,Z/67,3,0,k=(2p-2)t-1,exact in all dimensions
395,199,odd-primary image J,Z/199,1,0,k=(2p-2)t-1,exact in all dimensions
399,2,2-primary image-J cyclic summand,Z/32,50,1,"k=8t-1, t odd*2^m",exact
399,3,odd-primary image J,Z/3,100,0,k=(2p-2)t-1,exact in all dimensions
399,5,odd-primary image J,Z/125,50,2,k=(2p-2)t-1,exact in all dimensions
399,11,odd-primary image J,Z/11,20,0,k=(2p-2)t-1,exact in all dimensions
399,41,odd-primary image J,Z/41,5,0,k=(2p-2)t-1,exact in all dimensions
399,101,odd-primary image J,Z/101,2,0,k=(2p-2)t-1,exact in all dimensions
400,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
401,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
402,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
403,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
403,3,odd-primary image J,Z/3,101,0,k=(2p-2)t-1,exact in all dimensions
407,2,2-primary image-J cyclic summand,Z/16,51,0,"k=8t-1, t odd*2^m",exact
407,3,odd-primary image J,Z/9,102,1,k=(2p-2)t-1,exact in all dimensions
407,5,odd-primary image J,Z/5,51,0,k=(2p-2)t-1,exact in all dimensions
407,7,odd-primary image J,Z/7,34,0,k=(2p-2)t-1,exact in all dimensions
407,13,odd-primary image J,Z/13,17,0,k=(2p-2)t-1,exact in all dimensions
407,103,odd-primary image J,Z/103,2,0,k=(2p-2)t-1,exact in all dimensions
408,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
409,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
410,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
411,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
411,3,odd-primary image J,Z/3,103,0,k=(2p-2)t-1,exact in all dimensions
415,2,2-primary image-J cyclic summand,Z/64,52,2,"k=8t-1, t odd*2^m",exact
415,3,odd-primary image J,Z/3,104,0,k=(2p-2)t-1,exact in all dimensions
415,5,odd-primary image J,Z/5,52,0,k=(2p-2)t-1,exact in all dimensions
415,17,odd-primary image J,Z/17,13,0,k=(2p-2)t-1,exact in all dimensions
415,53,odd-primary image J,Z/53,4,0,k=(2p-2)t-1,exact in all dimensions
416,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
417,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
418,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
419,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
419,3,odd-primary image J,Z/9,105,1,k=(2p-2)t-1,exact in all dimensions
419,7,odd-primary image J,Z/49,35,1,k=(2p-2)t-1,exact in all dimensions
419,11,odd-primary image J,Z/11,21,0,k=(2p-2)t-1,exact in all dimensions
419,31,odd-primary image J,Z/31,7,0,k=(2p-2)t-1,exact in all dimensions
419,43,odd-primary image J,Z/43,5,0,k=(2p-2)t-1,exact in all dimensions
419,71,odd-primary image J,Z/71,3,0,k=(2p-2)t-1,exact in all dimensions
419,211,odd-primary image J,Z/211,1,0,k=(2p-2)t-1,exact in all dimensions
423,2,2-primary image-J cyclic summand,Z/16,53,0,"k=8t-1, t odd*2^m",exact
423,3,odd-primary image J,Z/3,106,0,k=(2p-2)t-1,exact in all dimensions
423,5,odd-primary image J,Z/5,53,0,k=(2p-2)t-1,exact in all dimensions
423,107,odd-primary image J,Z/107,2,0,k=(2p-2)t-1,exact in all dimensions
424,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
425,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
426,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
427,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
427,3,odd-primary image J,Z/3,107,0,k=(2p-2)t-1,exact in all dimensions
431,2,2-primary image-J cyclic summand,Z/32,54,1,"k=8t-1, t odd*2^m",exact
431,3,odd-primary image J,Z/81,108,3,k=(2p-2)t-1,exact in all dimensions
431,5,odd-primary image J,Z/5,54,0,k=(2p-2)t-1,exact in all dimensions
431,7,odd-primary image J,Z/7,36,0,k=(2p-2)t-1,exact in all dimensions
431,13,odd-primary image J,Z/13,18,0,k=(2p-2)t-1,exact in all dimensions
431,19,odd-primary image J,Z/19,12,0,k=(2p-2)t-1,exact in all dimensions
431,37,odd-primary image J,Z/37,6,0,k=(2p-2)t-1,exact in all dimensions
431,73,odd-primary image J,Z/73,3,0,k=(2p-2)t-1,exact in all dimensions
431,109,odd-primary image J,Z/109,2,0,k=(2p-2)t-1,exact in all dimensions
432,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
433,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
434,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
435,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
435,3,odd-primary image J,Z/3,109,0,k=(2p-2)t-1,exact in all dimensions
439,2,2-primary image-J cyclic summand,Z/16,55,0,"k=8t-1, t odd*2^m",exact
439,3,odd-primary image J,Z/3,110,0,k=(2p-2)t-1,exact in all dimensions
439,5,odd-primary image J,Z/25,55,1,k=(2p-2)t-1,exact in all dimensions
439,11,odd-primary image J,Z/121,22,1,k=(2p-2)t-1,exact in all dimensions
439,23,odd-primary image J,Z/23,10,0,k=(2p-2)t-1,exact in all dimensions
440,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
441,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
442,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
443,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
443,3,odd-primary image J,Z/9,111,1,k=(2p-2)t-1,exact in all dimensions
443,7,odd-primary image J,Z/7,37,0,k=(2p-2)t-1,exact in all dimensions
443,223,odd-primary image J,Z/223,1,0,k=(2p-2)t-1,exact in all dimensions
447,2,2-primary image-J cyclic summand,Z/128,56,3,"k=8t-1, t odd*2^m",exact
447,3,odd-primary image J,Z/3,112,0,k=(2p-2)t-1,exact in all dimensions
447,5,odd-primary image J,Z/5,56,0,k=(2p-2)t-1,exact in all dimensions
447,17,odd-primary image J,Z/17,14,0,k=(2p-2)t-1,exact in all dimensions
447,29,odd-primary image J,Z/29,8,0,k=(2p-2)t-1,exact in all dimensions
447,113,odd-primary image J,Z/113,2,0,k=(2p-2)t-1,exact in all dimensions
448,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
449,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
450,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
451,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
451,3,odd-primary image J,Z/3,113,0,k=(2p-2)t-1,exact in all dimensions
451,227,odd-primary image J,Z/227,1,0,k=(2p-2)t-1,exact in all dimensions
455,2,2-primary image-J cyclic summand,Z/16,57,0,"k=8t-1, t odd*2^m",exact
455,3,odd-primary image J,Z/9,114,1,k=(2p-2)t-1,exact in all dimensions
455,5,odd-primary image J,Z/5,57,0,k=(2p-2)t-1,exact in all dimensions
455,7,odd-primary image J,Z/7,38,0,k=(2p-2)t-1,exact in all dimensions
455,13,odd-primary image J,Z/13,19,0,k=(2p-2)t-1,exact in all dimensions
455,229,odd-primary image J,Z/229,1,0,k=(2p-2)t-1,exact in all dimensions
456,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
457,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
458,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
459,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
459,3,odd-primary image J,Z/3,115,0,k=(2p-2)t-1,exact in all dimensions
459,11,odd-primary image J,Z/11,23,0,k=(2p-2)t-1,exact in all dimensions
459,47,odd-primary image J,Z/47,5,0,k=(2p-2)t-1,exact in all dimensions
463,2,2-primary image-J cyclic summand,Z/32,58,1,"k=8t-1, t odd*2^m",exact
